"taxon_name","features","new_names","genus","taxon_annotation"
"OTU_97.101","OTU97101","OTU_97.101|Fusobacterium","Fusobacterium","anaerobic"
"OTU_97.1010","OTU971010","OTU_97.1010|NA",NA,NA
"OTU_97.10101","OTU9710101","OTU_97.10101|Capnocytophaga","Capnocytophaga","facultative_anaerobic"
"OTU_97.10102","OTU9710102","OTU_97.10102|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.10103","OTU9710103","OTU_97.10103|Actinomyces","Actinomyces","anaerobic"
"OTU_97.10106","OTU9710106","OTU_97.10106|Fusobacterium","Fusobacterium","anaerobic"
"OTU_97.10107","OTU9710107","OTU_97.10107|Fusobacterium","Fusobacterium","anaerobic"
"OTU_97.10111","OTU9710111","OTU_97.10111|Capnocytophaga","Capnocytophaga","facultative_anaerobic"
"OTU_97.10115","OTU9710115","OTU_97.10115|Leptotrichia","Leptotrichia","anaerobic"
"OTU_97.10119","OTU9710119","OTU_97.10119|Corynebacterium","Corynebacterium","aerobic"
"OTU_97.1012","OTU971012","OTU_97.1012|Prevotella","Prevotella","anaerobic"
"OTU_97.10120","OTU9710120","OTU_97.10120|NA",NA,NA
"OTU_97.10121","OTU9710121","OTU_97.10121|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.10122","OTU9710122","OTU_97.10122|NA",NA,NA
"OTU_97.10123","OTU9710123","OTU_97.10123|Treponema","Treponema","anaerobic"
"OTU_97.10124","OTU9710124","OTU_97.10124|Prevotella","Prevotella","anaerobic"
"OTU_97.10126","OTU9710126","OTU_97.10126|Aggregatibacter","Aggregatibacter","facultative_anaerobic"
"OTU_97.10128","OTU9710128","OTU_97.10128|Actinomyces","Actinomyces","anaerobic"
"OTU_97.10132","OTU9710132","OTU_97.10132|NA",NA,NA
"OTU_97.10134","OTU9710134","OTU_97.10134|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.10136","OTU9710136","OTU_97.10136|Actinobacillus","Actinobacillus","aerobic"
"OTU_97.10138","OTU9710138","OTU_97.10138|Prevotella","Prevotella","anaerobic"
"OTU_97.10139","OTU9710139","OTU_97.10139|Prevotella","Prevotella","anaerobic"
"OTU_97.1014","OTU971014","OTU_97.1014|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.10142","OTU9710142","OTU_97.10142|Selenomonas","Selenomonas","anaerobic"
"OTU_97.10151","OTU9710151","OTU_97.10151|Selenomonas","Selenomonas","anaerobic"
"OTU_97.10154","OTU9710154","OTU_97.10154|Fusobacterium","Fusobacterium","anaerobic"
"OTU_97.10155","OTU9710155","OTU_97.10155|Actinomyces","Actinomyces","anaerobic"
"OTU_97.10157","OTU9710157","OTU_97.10157|Veillonella","Veillonella","anaerobic"
"OTU_97.1016","OTU971016","OTU_97.1016|NA",NA,NA
"OTU_97.10160","OTU9710160","OTU_97.10160|Neisseria","Neisseria","aerobic"
"OTU_97.10167","OTU9710167","OTU_97.10167|Corynebacterium","Corynebacterium","aerobic"
"OTU_97.10169","OTU9710169","OTU_97.10169|Prevotella","Prevotella","anaerobic"
"OTU_97.10171","OTU9710171","OTU_97.10171|Porphyromonas","Porphyromonas","anaerobic"
"OTU_97.10177","OTU9710177","OTU_97.10177|Fusobacterium","Fusobacterium","anaerobic"
"OTU_97.10178","OTU9710178","OTU_97.10178|Prevotella","Prevotella","anaerobic"
"OTU_97.10185","OTU9710185","OTU_97.10185|Streptococcus","Streptococcus","facultative_anaerobic"
"OTU_97.10188","OTU9710188","OTU_97.10188|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.10190","OTU9710190","OTU_97.10190|Actinomyces","Actinomyces","anaerobic"
"OTU_97.10194","OTU9710194","OTU_97.10194|Atopobium","Atopobium","facultative_anaerobic"
"OTU_97.10196","OTU9710196","OTU_97.10196|NA",NA,NA
"OTU_97.10198","OTU9710198","OTU_97.10198|Capnocytophaga","Capnocytophaga","facultative_anaerobic"
"OTU_97.102","OTU97102","OTU_97.102|Aggregatibacter","Aggregatibacter","facultative_anaerobic"
"OTU_97.10201","OTU9710201","OTU_97.10201|Prevotella","Prevotella","anaerobic"
"OTU_97.10202","OTU9710202","OTU_97.10202|Porphyromonas","Porphyromonas","anaerobic"
"OTU_97.10207","OTU9710207","OTU_97.10207|Leptotrichia","Leptotrichia","anaerobic"
"OTU_97.10211","OTU9710211","OTU_97.10211|Prevotella","Prevotella","anaerobic"
"OTU_97.10216","OTU9710216","OTU_97.10216|Granulicatella","Granulicatella","anaerobic"
"OTU_97.10217","OTU9710217","OTU_97.10217|Streptococcus","Streptococcus","facultative_anaerobic"
"OTU_97.10219","OTU9710219","OTU_97.10219|NA",NA,NA
"OTU_97.1022","OTU971022","OTU_97.1022|Fusobacterium","Fusobacterium","anaerobic"
"OTU_97.10220","OTU9710220","OTU_97.10220|Prevotella","Prevotella","anaerobic"
"OTU_97.1023","OTU971023","OTU_97.1023|Prevotella","Prevotella","anaerobic"
"OTU_97.10231","OTU9710231","OTU_97.10231|Neisseria","Neisseria","aerobic"
"OTU_97.10233","OTU9710233","OTU_97.10233|Fusobacterium","Fusobacterium","anaerobic"
"OTU_97.10235","OTU9710235","OTU_97.10235|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.10241","OTU9710241","OTU_97.10241|Rothia","Rothia","facultative_anaerobic"
"OTU_97.10242","OTU9710242","OTU_97.10242|Neisseria","Neisseria","aerobic"
"OTU_97.10246","OTU9710246","OTU_97.10246|Treponema","Treponema","anaerobic"
"OTU_97.10247","OTU9710247","OTU_97.10247|Veillonella","Veillonella","anaerobic"
"OTU_97.10249","OTU9710249","OTU_97.10249|Moryella","Moryella",NA
"OTU_97.10255","OTU9710255","OTU_97.10255|Prevotella","Prevotella","anaerobic"
"OTU_97.10256","OTU9710256","OTU_97.10256|NA",NA,NA
"OTU_97.10257","OTU9710257","OTU_97.10257|Oribacterium","Oribacterium","anaerobic"
"OTU_97.10258","OTU9710258","OTU_97.10258|Novosphingobium","Novosphingobium",NA
"OTU_97.10259","OTU9710259","OTU_97.10259|NA",NA,NA
"OTU_97.1026","OTU971026","OTU_97.1026|NA",NA,NA
"OTU_97.10260","OTU9710260","OTU_97.10260|Prevotella","Prevotella","anaerobic"
"OTU_97.10264","OTU9710264","OTU_97.10264|Leptotrichia","Leptotrichia","anaerobic"
"OTU_97.1027","OTU971027","OTU_97.1027|Treponema","Treponema","anaerobic"
"OTU_97.10271","OTU9710271","OTU_97.10271|Campylobacter","Campylobacter","facultative_anaerobic"
"OTU_97.10272","OTU9710272","OTU_97.10272|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.10274","OTU9710274","OTU_97.10274|Prevotella","Prevotella","anaerobic"
"OTU_97.10276","OTU9710276","OTU_97.10276|Streptococcus","Streptococcus","facultative_anaerobic"
"OTU_97.10278","OTU9710278","OTU_97.10278|Prevotella","Prevotella","anaerobic"
"OTU_97.10280","OTU9710280","OTU_97.10280|Prevotella","Prevotella","anaerobic"
"OTU_97.10283","OTU9710283","OTU_97.10283|Actinobacillus","Actinobacillus","aerobic"
"OTU_97.10288","OTU9710288","OTU_97.10288|Atopobium","Atopobium","facultative_anaerobic"
"OTU_97.10289","OTU9710289","OTU_97.10289|Streptococcus","Streptococcus","facultative_anaerobic"
"OTU_97.10290","OTU9710290","OTU_97.10290|Veillonella","Veillonella","anaerobic"
"OTU_97.10294","OTU9710294","OTU_97.10294|Selenomonas","Selenomonas","anaerobic"
"OTU_97.10297","OTU9710297","OTU_97.10297|Prevotella","Prevotella","anaerobic"
"OTU_97.10299","OTU9710299","OTU_97.10299|Fusobacterium","Fusobacterium","anaerobic"
"OTU_97.103","OTU97103","OTU_97.103|Streptococcus","Streptococcus","facultative_anaerobic"
"OTU_97.1030","OTU971030","OTU_97.1030|Prevotella","Prevotella","anaerobic"
"OTU_97.10303","OTU9710303","OTU_97.10303|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.10305","OTU9710305","OTU_97.10305|Prevotella","Prevotella","anaerobic"
"OTU_97.10308","OTU9710308","OTU_97.10308|Prevotella","Prevotella","anaerobic"
"OTU_97.10309","OTU9710309","OTU_97.10309|Eubacterium","Eubacterium",NA
"OTU_97.10310","OTU9710310","OTU_97.10310|Campylobacter","Campylobacter","facultative_anaerobic"
"OTU_97.10316","OTU9710316","OTU_97.10316|Fusobacterium","Fusobacterium","anaerobic"
"OTU_97.10319","OTU9710319","OTU_97.10319|Veillonella","Veillonella","anaerobic"
"OTU_97.1032","OTU971032","OTU_97.1032|Prevotella","Prevotella","anaerobic"
"OTU_97.10327","OTU9710327","OTU_97.10327|Neisseria","Neisseria","aerobic"
"OTU_97.10328","OTU9710328","OTU_97.10328|Veillonella","Veillonella","anaerobic"
"OTU_97.10330","OTU9710330","OTU_97.10330|Neisseria","Neisseria","aerobic"
"OTU_97.10332","OTU9710332","OTU_97.10332|Fusobacterium","Fusobacterium","anaerobic"
"OTU_97.10339","OTU9710339","OTU_97.10339|Dialister","Dialister","anaerobic"
"OTU_97.1034","OTU971034","OTU_97.1034|Prevotella","Prevotella","anaerobic"
"OTU_97.10340","OTU9710340","OTU_97.10340|Leptotrichia","Leptotrichia","anaerobic"
"OTU_97.10341","OTU9710341","OTU_97.10341|Veillonella","Veillonella","anaerobic"
"OTU_97.10344","OTU9710344","OTU_97.10344|Capnocytophaga","Capnocytophaga","facultative_anaerobic"
"OTU_97.10345","OTU9710345","OTU_97.10345|Aggregatibacter","Aggregatibacter","facultative_anaerobic"
"OTU_97.10347","OTU9710347","OTU_97.10347|Prevotella","Prevotella","anaerobic"
"OTU_97.10350","OTU9710350","OTU_97.10350|Streptococcus","Streptococcus","facultative_anaerobic"
"OTU_97.10354","OTU9710354","OTU_97.10354|NA",NA,NA
"OTU_97.10355","OTU9710355","OTU_97.10355|NA",NA,NA
"OTU_97.10359","OTU9710359","OTU_97.10359|Fusobacterium","Fusobacterium","anaerobic"
"OTU_97.10361","OTU9710361","OTU_97.10361|Fusobacterium","Fusobacterium","anaerobic"
"OTU_97.10366","OTU9710366","OTU_97.10366|NA",NA,NA
"OTU_97.1037","OTU971037","OTU_97.1037|Corynebacterium","Corynebacterium","aerobic"
"OTU_97.10372","OTU9710372","OTU_97.10372|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.10375","OTU9710375","OTU_97.10375|Actinomyces","Actinomyces","anaerobic"
"OTU_97.10377","OTU9710377","OTU_97.10377|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.10384","OTU9710384","OTU_97.10384|Actinobacillus","Actinobacillus","aerobic"
"OTU_97.10385","OTU9710385","OTU_97.10385|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.10388","OTU9710388","OTU_97.10388|Porphyromonas","Porphyromonas","anaerobic"
"OTU_97.10390","OTU9710390","OTU_97.10390|Prevotella","Prevotella","anaerobic"
"OTU_97.10391","OTU9710391","OTU_97.10391|Prevotella","Prevotella","anaerobic"
"OTU_97.10393","OTU9710393","OTU_97.10393|Aggregatibacter","Aggregatibacter","facultative_anaerobic"
"OTU_97.10394","OTU9710394","OTU_97.10394|NA",NA,NA
"OTU_97.10396","OTU9710396","OTU_97.10396|Fusobacterium","Fusobacterium","anaerobic"
"OTU_97.10399","OTU9710399","OTU_97.10399|Prevotella","Prevotella","anaerobic"
"OTU_97.104","OTU97104","OTU_97.104|Prevotella","Prevotella","anaerobic"
"OTU_97.1040","OTU971040","OTU_97.1040|Gemella","Gemella","facultative_anaerobic"
"OTU_97.10400","OTU9710400","OTU_97.10400|Actinomyces","Actinomyces","anaerobic"
"OTU_97.10409","OTU9710409","OTU_97.10409|NA",NA,NA
"OTU_97.1041","OTU971041","OTU_97.1041|Aggregatibacter","Aggregatibacter","facultative_anaerobic"
"OTU_97.10410","OTU9710410","OTU_97.10410|Streptococcus","Streptococcus","facultative_anaerobic"
"OTU_97.10411","OTU9710411","OTU_97.10411|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.1042","OTU971042","OTU_97.1042|Treponema","Treponema","anaerobic"
"OTU_97.10423","OTU9710423","OTU_97.10423|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.1043","OTU971043","OTU_97.1043|Lautropia","Lautropia","aerobic"
"OTU_97.10436","OTU9710436","OTU_97.10436|NA",NA,NA
"OTU_97.10439","OTU9710439","OTU_97.10439|Gemella","Gemella","facultative_anaerobic"
"OTU_97.10445","OTU9710445","OTU_97.10445|NA",NA,NA
"OTU_97.10449","OTU9710449","OTU_97.10449|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.10453","OTU9710453","OTU_97.10453|Treponema","Treponema","anaerobic"
"OTU_97.10458","OTU9710458","OTU_97.10458|Porphyromonas","Porphyromonas","anaerobic"
"OTU_97.10459","OTU9710459","OTU_97.10459|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.1046","OTU971046","OTU_97.1046|NA",NA,NA
"OTU_97.10460","OTU9710460","OTU_97.10460|Corynebacterium","Corynebacterium","aerobic"
"OTU_97.10461","OTU9710461","OTU_97.10461|Prevotella","Prevotella","anaerobic"
"OTU_97.10462","OTU9710462","OTU_97.10462|Tannerella","Tannerella","anaerobic"
"OTU_97.10463","OTU9710463","OTU_97.10463|Veillonella","Veillonella","anaerobic"
"OTU_97.10464","OTU9710464","OTU_97.10464|NA",NA,NA
"OTU_97.10468","OTU9710468","OTU_97.10468|NA",NA,NA
"OTU_97.10469","OTU9710469","OTU_97.10469|Rothia","Rothia","facultative_anaerobic"
"OTU_97.10474","OTU9710474","OTU_97.10474|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.1048","OTU971048","OTU_97.1048|Treponema","Treponema","anaerobic"
"OTU_97.10481","OTU9710481","OTU_97.10481|Corynebacterium","Corynebacterium","aerobic"
"OTU_97.10486","OTU9710486","OTU_97.10486|Lautropia","Lautropia","aerobic"
"OTU_97.10487","OTU9710487","OTU_97.10487|Fusobacterium","Fusobacterium","anaerobic"
"OTU_97.1049","OTU971049","OTU_97.1049|Selenomonas","Selenomonas","anaerobic"
"OTU_97.10490","OTU9710490","OTU_97.10490|Corynebacterium","Corynebacterium","aerobic"
"OTU_97.10492","OTU9710492","OTU_97.10492|NA",NA,NA
"OTU_97.10494","OTU9710494","OTU_97.10494|Rothia","Rothia","facultative_anaerobic"
"OTU_97.10496","OTU9710496","OTU_97.10496|Prevotella","Prevotella","anaerobic"
"OTU_97.10497","OTU9710497","OTU_97.10497|NA",NA,NA
"OTU_97.10498","OTU9710498","OTU_97.10498|NA",NA,NA
"OTU_97.10499","OTU9710499","OTU_97.10499|Atopobium","Atopobium","facultative_anaerobic"
"OTU_97.105","OTU97105","OTU_97.105|NA",NA,NA
"OTU_97.10502","OTU9710502","OTU_97.10502|Prevotella","Prevotella","anaerobic"
"OTU_97.10503","OTU9710503","OTU_97.10503|Moryella","Moryella",NA
"OTU_97.10506","OTU9710506","OTU_97.10506|Prevotella","Prevotella","anaerobic"
"OTU_97.10507","OTU9710507","OTU_97.10507|Streptococcus","Streptococcus","facultative_anaerobic"
"OTU_97.10509","OTU9710509","OTU_97.10509|Treponema","Treponema","anaerobic"
"OTU_97.10513","OTU9710513","OTU_97.10513|Gemella","Gemella","facultative_anaerobic"
"OTU_97.10517","OTU9710517","OTU_97.10517|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.10518","OTU9710518","OTU_97.10518|Corynebacterium","Corynebacterium","aerobic"
"OTU_97.10519","OTU9710519","OTU_97.10519|Corynebacterium","Corynebacterium","aerobic"
"OTU_97.10522","OTU9710522","OTU_97.10522|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.10526","OTU9710526","OTU_97.10526|TG5","TG5",NA
"OTU_97.1053","OTU971053","OTU_97.1053|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.10535","OTU9710535","OTU_97.10535|Corynebacterium","Corynebacterium","aerobic"
"OTU_97.10537","OTU9710537","OTU_97.10537|Eubacterium","Eubacterium",NA
"OTU_97.10538","OTU9710538","OTU_97.10538|Streptococcus","Streptococcus","facultative_anaerobic"
"OTU_97.1054","OTU971054","OTU_97.1054|NA",NA,NA
"OTU_97.10540","OTU9710540","OTU_97.10540|Capnocytophaga","Capnocytophaga","facultative_anaerobic"
"OTU_97.10544","OTU9710544","OTU_97.10544|Streptococcus","Streptococcus","facultative_anaerobic"
"OTU_97.10545","OTU9710545","OTU_97.10545|Treponema","Treponema","anaerobic"
"OTU_97.10546","OTU9710546","OTU_97.10546|Neisseria","Neisseria","aerobic"
"OTU_97.10550","OTU9710550","OTU_97.10550|Prevotella","Prevotella","anaerobic"
"OTU_97.10552","OTU9710552","OTU_97.10552|Prevotella","Prevotella","anaerobic"
"OTU_97.10561","OTU9710561","OTU_97.10561|Leptotrichia","Leptotrichia","anaerobic"
"OTU_97.10562","OTU9710562","OTU_97.10562|Streptococcus","Streptococcus","facultative_anaerobic"
"OTU_97.10567","OTU9710567","OTU_97.10567|Corynebacterium","Corynebacterium","aerobic"
"OTU_97.10574","OTU9710574","OTU_97.10574|Streptococcus","Streptococcus","facultative_anaerobic"
"OTU_97.10575","OTU9710575","OTU_97.10575|Treponema","Treponema","anaerobic"
"OTU_97.1058","OTU971058","OTU_97.1058|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.10581","OTU9710581","OTU_97.10581|Actinobacillus","Actinobacillus","aerobic"
"OTU_97.10582","OTU9710582","OTU_97.10582|Treponema","Treponema","anaerobic"
"OTU_97.10586","OTU9710586","OTU_97.10586|Streptococcus","Streptococcus","facultative_anaerobic"
"OTU_97.10587","OTU9710587","OTU_97.10587|NA",NA,NA
"OTU_97.10589","OTU9710589","OTU_97.10589|Streptococcus","Streptococcus","facultative_anaerobic"
"OTU_97.1059","OTU971059","OTU_97.1059|NA",NA,NA
"OTU_97.10594","OTU9710594","OTU_97.10594|Brachymonas","Brachymonas",NA
"OTU_97.10596","OTU9710596","OTU_97.10596|Prevotella","Prevotella","anaerobic"
"OTU_97.10598","OTU9710598","OTU_97.10598|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.10599","OTU9710599","OTU_97.10599|Lautropia","Lautropia","aerobic"
"OTU_97.106","OTU97106","OTU_97.106|Phascolarctobacterium","Phascolarctobacterium",NA
"OTU_97.10602","OTU9710602","OTU_97.10602|Prevotella","Prevotella","anaerobic"
"OTU_97.10605","OTU9710605","OTU_97.10605|Campylobacter","Campylobacter","facultative_anaerobic"
"OTU_97.10609","OTU9710609","OTU_97.10609|Corynebacterium","Corynebacterium","aerobic"
"OTU_97.10611","OTU9710611","OTU_97.10611|Porphyromonas","Porphyromonas","anaerobic"
"OTU_97.10613","OTU9710613","OTU_97.10613|NA",NA,NA
"OTU_97.10615","OTU9710615","OTU_97.10615|NA",NA,NA
"OTU_97.10616","OTU9710616","OTU_97.10616|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.10619","OTU9710619","OTU_97.10619|Streptococcus","Streptococcus","facultative_anaerobic"
"OTU_97.10623","OTU9710623","OTU_97.10623|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.10624","OTU9710624","OTU_97.10624|NA",NA,NA
"OTU_97.10630","OTU9710630","OTU_97.10630|Streptococcus","Streptococcus","facultative_anaerobic"
"OTU_97.10634","OTU9710634","OTU_97.10634|NA",NA,NA
"OTU_97.10635","OTU9710635","OTU_97.10635|Prevotella","Prevotella","anaerobic"
"OTU_97.10638","OTU9710638","OTU_97.10638|Streptococcus","Streptococcus","facultative_anaerobic"
"OTU_97.10641","OTU9710641","OTU_97.10641|Moraxella","Moraxella","aerobic"
"OTU_97.10643","OTU9710643","OTU_97.10643|Prevotella","Prevotella","anaerobic"
"OTU_97.10646","OTU9710646","OTU_97.10646|Streptococcus","Streptococcus","facultative_anaerobic"
"OTU_97.10647","OTU9710647","OTU_97.10647|Capnocytophaga","Capnocytophaga","facultative_anaerobic"
"OTU_97.10649","OTU9710649","OTU_97.10649|Actinomyces","Actinomyces","anaerobic"
"OTU_97.1065","OTU971065","OTU_97.1065|Peptostreptococcus","Peptostreptococcus","anaerobic"
"OTU_97.10655","OTU9710655","OTU_97.10655|NA",NA,NA
"OTU_97.10656","OTU9710656","OTU_97.10656|Actinomyces","Actinomyces","anaerobic"
"OTU_97.10670","OTU9710670","OTU_97.10670|Faecalibacterium","Faecalibacterium",NA
"OTU_97.10672","OTU9710672","OTU_97.10672|Actinomyces","Actinomyces","anaerobic"
"OTU_97.10673","OTU9710673","OTU_97.10673|Selenomonas","Selenomonas","anaerobic"
"OTU_97.10674","OTU9710674","OTU_97.10674|Actinomyces","Actinomyces","anaerobic"
"OTU_97.10677","OTU9710677","OTU_97.10677|Prevotella","Prevotella","anaerobic"
"OTU_97.10681","OTU9710681","OTU_97.10681|Prevotella","Prevotella","anaerobic"
"OTU_97.10682","OTU9710682","OTU_97.10682|Lautropia","Lautropia","aerobic"
"OTU_97.10687","OTU9710687","OTU_97.10687|NA",NA,NA
"OTU_97.10688","OTU9710688","OTU_97.10688|Fusobacterium","Fusobacterium","anaerobic"
"OTU_97.1069","OTU971069","OTU_97.1069|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.10690","OTU9710690","OTU_97.10690|NA",NA,NA
"OTU_97.10691","OTU9710691","OTU_97.10691|Filifactor","Filifactor","anaerobic"
"OTU_97.10692","OTU9710692","OTU_97.10692|Aggregatibacter","Aggregatibacter","facultative_anaerobic"
"OTU_97.10694","OTU9710694","OTU_97.10694|Corynebacterium","Corynebacterium","aerobic"
"OTU_97.10695","OTU9710695","OTU_97.10695|Veillonella","Veillonella","anaerobic"
"OTU_97.10697","OTU9710697","OTU_97.10697|NA",NA,NA
"OTU_97.10699","OTU9710699","OTU_97.10699|Escherichia","Escherichia",NA
"OTU_97.107","OTU97107","OTU_97.107|NA",NA,NA
"OTU_97.10700","OTU9710700","OTU_97.10700|Prevotella","Prevotella","anaerobic"
"OTU_97.10701","OTU9710701","OTU_97.10701|Corynebacterium","Corynebacterium","aerobic"
"OTU_97.10703","OTU9710703","OTU_97.10703|Leptotrichia","Leptotrichia","anaerobic"
"OTU_97.10704","OTU9710704","OTU_97.10704|NA",NA,NA
"OTU_97.10707","OTU9710707","OTU_97.10707|Fusobacterium","Fusobacterium","anaerobic"
"OTU_97.10709","OTU9710709","OTU_97.10709|Leptotrichia","Leptotrichia","anaerobic"
"OTU_97.10711","OTU9710711","OTU_97.10711|Prevotella","Prevotella","anaerobic"
"OTU_97.10714","OTU9710714","OTU_97.10714|NA",NA,NA
"OTU_97.10715","OTU9710715","OTU_97.10715|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.10716","OTU9710716","OTU_97.10716|NA",NA,NA
"OTU_97.10717","OTU9710717","OTU_97.10717|Capnocytophaga","Capnocytophaga","facultative_anaerobic"
"OTU_97.10719","OTU9710719","OTU_97.10719|NA",NA,NA
"OTU_97.1072","OTU971072","OTU_97.1072|Capnocytophaga","Capnocytophaga","facultative_anaerobic"
"OTU_97.10728","OTU9710728","OTU_97.10728|Porphyromonas","Porphyromonas","anaerobic"
"OTU_97.1073","OTU971073","OTU_97.1073|Porphyromonas","Porphyromonas","anaerobic"
"OTU_97.10730","OTU9710730","OTU_97.10730|Moryella","Moryella",NA
"OTU_97.10731","OTU9710731","OTU_97.10731|Fusobacterium","Fusobacterium","anaerobic"
"OTU_97.10732","OTU9710732","OTU_97.10732|Actinomyces","Actinomyces","anaerobic"
"OTU_97.10733","OTU9710733","OTU_97.10733|Leptotrichia","Leptotrichia","anaerobic"
"OTU_97.10734","OTU9710734","OTU_97.10734|Haemophilus","Haemophilus","facultative_anaerobic"
"OTU_97.10739","OTU9710739","OTU_97.10739|NA",NA,NA
"OTU_97.10740","OTU9710740","OTU_97.10740|Aggregatibacter","Aggregatibacter","facultative_anaerobic"
